obs;enrl_tot;teachers;calw_pct;meal_pct;computer;testscr;comp_stu;expn_stu;str;avginc;el_pct;read_scr;math_scr
1;195;10,900;0,51020;2,0408;67;690,8000;0,3435898;6384,911;17,88991;22,69000;0,00000;691,6000;690,0000
2;240;11,150;15,41670;47,9167;101;661,2000;0,4208333;5099,381;21,52466;9,82400;4,58333;660,5000;661,9000
3;1550;82,900;55,03230;76,3226;169;643,6000;0,1090323;5501,955;18,69723;8,97800;30,00000;636,3000;650,9000
4;243;14,000;36,47540;77,0492;85;647,7000;0,3497942;7101,831;17,35714;8,97800;0,00000;651,9000;643,5000
5;1335;71,500;33,10860;78,4270;171;640,8500;0,1280899;5235,988;18,67133;9,08033;13,85768;641,8000;639,9000
6;137;6,400;12,31880;86,9565;25;605,5500;0,1824818;5580,147;21,40625;10,41500;12,40876;605,7000;605,4000
7;195;10,000;12,90320;94,6237;28;606,7500;0,1435897;5253,331;19,50000;6,57700;68,71795;604,5000;609,0000
8;888;42,500;18,80630;100,0000;66;609,0000;0,07432;4565,746;20,89412;8,17400;46,95946;605,5000;612,5000
9;379;19,000;32,19000;93,1398;35;612,5000;0,09235;5355,548;19,94737;7,38500;30,07916;608,9000;616,1000
10;2247;108,000;78,99420;87,3164;0;612,6500;0,0000;5036,211;20,80556;11,61333;40,27592;611,9000;613,4000
11;446;21,000;18,60990;85,8744;86;615,7500;0,1928251;4547,692;21,23809;8,93100;52,91480;612,8000;618,7000
12;987;47,000;71,71310;98,6056;56;616,3000;0,05674;5447,345;21,00000;7,38500;54,60993;616,6000;616,0000
13;103;5,000;22,42990;98,1308;25;616,3000;0,2427184;6567,149;20,60000;5,33500;42,71844;612,8000;619,8000
14;487;24,340;24,60940;77,1484;0;616,3000;0,0000;4818,613;20,00822;8,27900;20,53388;610,0000;622,6000
15;649;36,000;14,63790;76,2712;31;616,4500;0,04777;5621,456;18,02778;9,63000;80,12326;611,9000;621,0000
16;852;42,070;24,21420;94,2957;80;617,3500;0,09390;6026,360;20,25196;7,45400;49,41314;614,8000;619,9000
17;491;28,920;11,20160;97,7597;100;618,0500;0,2036660;6723,238;16,97787;6,21600;85,53972;611,7000;624,4000
18;421;25,500;8,55110;77,9097;50;618,3000;0,1187648;5589,885;16,50980;7,76400;58,90736;614,9000;621,7000
19;6880;303,030;21,28240;94,9712;960;619,8000;0,1395349;5064,616;22,70402;7,02200;77,00581;619,1000;620,5000
20;2688;135,000;23,43750;93,2292;139;620,3000;0,05171;5433,593;19,91111;5,69900;49,81399;621,3000;619,3000
21;440;24,000;34,77270;100,0000;69;620,5000;0,1568182;5725,563;18,33333;7,94100;40,68182;615,6000;625,4000
22;475;21,000;21,64950;91,5464;53;621,4000;0,1115789;4542,105;22,61905;9,63000;16,21053;619,9000;622,9000
23;2538;130,500;18,91110;70,8167;169;621,7500;0,06659;5107,086;19,44828;7,40500;45,07486;622,9000;620,6000
24;476;19,000;43,85590;100,0000;0;622,0500;0,0000;4659,662;25,05263;9,63000;39,07563;620,7000;623,4000
25;2357;114,000;16,80100;90,6237;216;622,6000;0,09164;4555,464;20,67544;8,01900;76,66525;619,5000;625,7000
26;1588;85,000;22,40720;85,1472;198;623,1000;0,1246851;5415,153;18,68235;8,52300;40,49118;625,0000;621,2000
27;7306;319,800;17,00150;88,0349;742;623,2000;0,1015604;4997,872;22,84553;7,98318;73,72023;620,4000;626,0000
28;2601;135,000;15,07110;92,1953;269;623,4500;0,1034218;5223,912;19,26667;7,30500;70,01154;616,5000;630,4000
29;847;44,000;16,29280;90,2007;67;623,6000;0,07910;5139,165;19,25000;8,93400;55,96222;620,1000;627,1000
30;452;22,000;14,49890;81,0235;55;624,1500;0,1216814;4614,252;20,54545;8,55400;11,06195;627,9000;620,4000
31;4142;201,000;35,56250;81,5065;569;624,5500;0,1373733;5342,233;20,60697;6,61300;80,42009;620,4000;628,7000
32;2102;99,750;15,31990;90,2849;224;624,9500;0,1065652;5347,458;21,07268;12,40900;63,13036;623,0000;626,9000
33;10012;464,900;29,76390;91,5934;721;625,3000;0,07201;5036,459;21,53581;8,12662;65,12186;620,8000;629,8000
34;2488;125,000;12,69200;55,0930;202;625,8500;0,08119;5117,142;19,90400;11,43100;53,41640;626,1000;625,6000
35;25151;1186,700;17,44260;80,1956;1713;626,1000;0,06811;5117,040;21,19407;11,72223;49,82307;625,4000;626,8000
36;2267;103,680;19,15170;84,4338;177;626,8000;0,07808;5272,192;21,86535;11,33250;35,46537;625,4000;628,2000
37;1657;90,400;28,84730;84,7314;204;626,9000;0,1231141;5225,719;18,32965;9,59800;56,12553;623,6000;630,2000
38;284;17,500;14,52700;94,9324;18;627,1000;0,06338;6516,533;16,22857;14,55800;32,39437;628,9000;625,3000
39;5370;280,000;19,57170;81,1173;562;627,2500;0,1046555;4559,177;19,17857;22,06000;65,51210;624,4000;630,1000
40;2471;121,860;23,79600;87,7782;275;627,3000;0,1112910;5119,158;20,27737;9,70900;53,05544;627,5000;627,1000
41;15386;669,360;12,50640;71,4331;1762;628,2500;0,1145197;5338,186;22,98614;11,48294;49,64253;627,8000;628,7000
42;184;9,000;22,28260;85,8696;40;628,4000;0,2173913;5090,045;20,44444;8,17800;45,10870;621,6000;635,2000
43;1217;61,400;33,90800;88,0952;78;628,5500;0,06409;5485,496;19,82085;8,17400;30,32046;629,4000;627,7000
44;6219;268,000;21,49860;100,0000;571;628,6500;0,09182;4793,370;23,20522;7,50000;52,24313;621,1000;636,2000
45;4258;221,000;24,65950;92,7431;324;628,7500;0,07609;5092,917;19,26697;10,05050;36,80132;626,5000;631,0000
46;1235;53,000;8,21830;62,1302;175;629,8000;0,1417004;4359,521;23,30189;7,33200;30,28340;630,2000;629,4000
47;16244;766,650;17,45310;69,7399;1423;630,3500;0,08760;5645,496;21,18829;12,58158;49,86457;629,5000;631,2000
48;814;39,000;19,77890;67,4447;85;630,4000;0,1044226;4518,016;20,87180;15,17700;13,75921;631,9000;628,9000
49;27176;1429,000;39,21840;84,2950;3324;630,5500;0,1223138;5864,366;19,01749;12,10913;28,86370;631,6000;629,5000
50;10696;487,970;22,15780;70,8957;1306;630,5500;0,1221017;5257,997;21,91938;11,78500;52,80479;628,5000;632,6000
51;8935;444,500;36,94510;79,5120;786;631,0500;0,08797;5016,692;20,10124;14,06200;44,08506;628,4000;633,7000
52;1600;74,500;27,26140;79,7255;242;631,4000;0,1512500;4720,086;21,47651;10,47200;35,25000;635,7000;627,1000
53;9028;449,920;13,98850;69,9425;669;631,8500;0,07410;5470,563;20,06579;13,40512;37,49446;633,0000;630,7000
54;10625;521,470;7,49750;77,5256;896;631,9000;0,08433;5615,442;20,37510;12,30180;50,39059;629,6000;634,2000
55;7151;318,580;18,54810;61,7382;560;631,9500;0,07831;5245,440;22,44648;15,40407;31,07258;634,2000;629,7000
56;2404;105,000;20,92740;52,9435;202;632,0000;0,08403;4838,175;22,89524;13,76200;18,26123;633,5000;630,5000
57;5804;283,150;28,34250;81,1165;480;632,2000;0,08270;5367,988;20,49797;14,18400;34,70021;631,4000;633,0000
58;2253;112,650;43,49760;84,5539;196;632,2500;0,08700;5526,237;20,00000;8,86500;33,28895;637,5000;627,0000
59;2807;126,120;15,45950;52,3964;152;632,4500;0,05415;4353,020;22,25658;12,99700;33,48771;637,3000;627,6000
60;3074;142,550;11,28980;66,1949;249;632,8500;0,08100;5034,290;21,56436;11,59200;38,15875;633,2000;632,5000
61;723;37,120;25,92110;83,1579;45;632,9500;0,06224;4692,494;19,47737;8,27900;36,92946;629,2000;636,7000
62;5138;290,775;58,75220;84,9990;560;633,0500;0,1089918;5606,782;17,67002;10,90564;32,98949;630,3000;635,8000
63;20927;953,500;10,91140;82,3926;1048;633,1500;0,05008;4969,181;21,94756;13,40063;58,21666;629,6000;636,7000
64;3017;138,500;14,97680;56,0636;496;633,6500;0,1644017;4675,675;21,78339;11,08100;17,00365;634,4000;632,9000
65;957;50,000;27,16820;82,1317;149;633,9000;0,1556949;5306,133;19,14000;9,08200;17,65935;634,7000;633,1000
66;1639;90,500;46,88820;80,6042;287;634,0000;0,1751068;5693,883;18,11050;13,39000;7,32154;638,4000;629,6000
67;4340;209,840;17,70260;93,9227;284;634,0500;0,06544;5181,580;20,68242;14,60163;31,19816;631,9000;636,2000
68;5079;224,500;25,55930;63,8036;585;634,1000;0,1151802;5228,651;22,62361;11,11600;16,61744;637,7000;630,5000
69;6639;304,730;26,84140;100,0000;505;634,1000;0,07607;5339,391;21,78650;8,42300;58,08104;631,5000;636,7000
70;1154;62,100;22,92770;84,9206;129;634,1500;0,1117851;6056,497;18,58293;11,66500;55,89254;636,8000;631,5000
71;237;11,000;19,83120;76,7932;13;634,2000;0,05485;4845,680;21,54545;7,30500;5,48523;631,8000;636,6000
72;2987;141,210;21,25880;68,3964;273;634,4000;0,09140;4826,666;21,15289;13,73060;14,42919;637,7000;631,1000
73;499;30,000;40,36700;83,1193;94;634,5500;0,1883768;5367,090;16,63333;11,11600;22,84569;635,5000;633,6000
74;11474;542,650;40,55260;77,0089;1248;634,7000;0,1087677;5742,733;21,14438;10,36443;38,78334;633,2000;636,2000
75;1088;55,000;14,15440;86,0294;107;634,9000;0,09835;4136,251;19,78182;6,98300;64,24632;631,1000;638,7000
76;2660;140,120;15,76010;74,8510;259;634,9500;0,09737;5267,831;18,98373;14,46780;25,22556;637,8000;632,1000
77;353;19,980;8,67210;33,0623;8;635,0500;0,02266;5238,392;17,66767;14,65300;5,38244;636,6000;633,5000
78;329;18,530;28,91570;85,5422;37;635,2000;0,1124620;5462,899;17,75499;10,62900;6,07903;644,3000;626,1000
79;252;16,500;23,45680;66,2551;32;635,4500;0,1269841;6313,374;15,27273;9,78100;0,00000;640,9000;630,0000
80;175;12,500;21,76470;68,8235;31;635,6000;0,1771429;6653,031;14,00000;10,65600;0,00000;634,6000;636,6000
81;3835;186,200;13,99110;72,8628;897;635,6000;0,2338983;5533,149;20,59613;11,93800;34,88918;633,0000;638,2000
82;314;19,250;29,93630;93,6306;8;635,7500;0,02548;6118,710;16,31169;7,38500;13,05732;636,7000;634,8000
83;4458;211,000;22,22220;72,3208;445;635,9500;0,09982;5098,627;21,12796;10,67600;36,02512;633,2000;638,7000
84;1313;75,080;32,08680;73,5976;112;636,1000;0,08530;5652,879;17,48801;9,97200;34,65347;633,9000;638,3000
85;474;26,500;21,51900;75,7384;36;636,5000;0,07595;5329,002;17,88679;8,25800;28,69198;634,7000;638,3000
86;1114;57,700;29,44680;62,2128;277;636,6000;0,2486535;5929,809;19,30676;8,89600;1,79533;645,4000;627,8000
87;1358;65,000;14,79030;80,8683;178;636,7000;0,1310751;4897,068;20,89231;12,06200;30,63329;632,3000;641,1000
88;11629;546,300;25,37940;83,8737;1015;636,9000;0,08728;5100,202;21,28684;9,42889;59,03345;632,4000;641,4000
89;6195;306,750;21,04330;68,5719;1261;636,9500;0,2035512;4825,723;20,19560;8,92033;13,55932;636,2000;637,7000
90;499;20,000;23,69940;80,9249;35;637,0000;0,07014;4079,129;24,95000;10,09800;5,01002;636,1000;637,9000
91;417;23,000;19,90410;46,0432;27;637,1000;0,06475;5349,368;18,13043;11,83000;0,95923;638,0000;636,2000
92;300;15,000;48,34440;72,1854;55;637,3500;0,1833333;5869,389;20,00000;11,55300;0,66667;640,9000;633,8000
93;457;24,400;16,81610;67,7130;50;637,6500;0,1094092;6462,128;18,72951;19,70700;38,51204;644,9000;630,4000
94;146;8,000;25,34250;54,1096;34;637,9500;0,2328767;6231,602;18,25000;7,10500;0,00000;646,1000;629,8000
95;460;24,220;10,59320;66,9492;71;637,9500;0,1543478;4993,868;18,99257;13,72500;17,17391;633,2000;642,7000
96;354;17,800;10,27780;59,7222;28;638,0000;0,07910;4663,811;19,88764;10,09800;9,88701;636,7000;639,3000
97;1841;95,000;25,25800;64,7474;315;638,2000;0,1711027;6107,106;19,37895;13,76200;19,39164;640,4000;636,0000
98;3760;183,750;26,90160;65,7961;717;638,3000;0,1906915;5324,228;20,46259;9,66500;36,48936;636,2000;640,4000
99;500;22,430;18,80000;83,0000;70;638,3000;0,1400000;5221,461;22,29157;10,26400;39,40000;630,4000;646,2000
100;5112;246,900;10,69120;59,7235;383;638,3500;0,07492;5157,785;20,70474;11,56920;28,67762;638,6000;638,1000
101;146;7,660;13,69860;66,4384;28;638,5500;0,1917808;5131,119;19,06005;7,40500;13,69863;637,5000;639,6000
102;2141;105,820;26,49650;65,3828;134;638,7000;0,06259;5279,354;20,23247;12,07700;11,34984;636,9000;640,5000
103;610;30,980;8,52460;56,0656;144;639,2500;0,2360656;4704,044;19,69012;11,28300;3,44262;640,3000;638,2000
104;337;16,550;21,26250;60,1329;26;639,3000;0,07715;6089,911;20,36254;10,03500;15,43027;642,7000;635,9000
105;4501;227,850;19,12970;63,9055;597;639,3500;0,1326372;5356,833;19,75422;8,38400;17,97378;639,9000;638,8000
106;5718;295,050;6,84070;37,0456;313;639,5000;0,05474;5144,549;19,37977;13,63000;22,71773;641,4000;637,6000
107;19402;846,380;20,52370;51,2421;1182;639,7500;0,06092;4906,230;22,92351;14,12767;18,43624;641,7000;637,8000
108;3401;175,550;52,21990;74,2723;560;639,8000;0,1646575;5489,589;19,37340;11,26612;16,17171;641,5000;638,1000
109;2621;136,830;25,82980;64,0977;397;639,8500;0,1514689;5718,551;19,15516;13,39000;2,02213;641,4000;638,3000
110;426;20,000;3,99060;64,7887;87;639,9000;0,2042253;4436,153;21,30000;11,93800;9,62441;634,3000;645,5000
111;205;11,200;18,53660;80,9756;24;640,1000;0,1170732;4895,439;18,30357;8,25800;41,46341;643,5000;636,7000
112;13668;648,410;28,17530;56,2994;1321;640,1500;0,09665;5159,219;21,07926;14,22673;9,89903;640,4000;639,9000
113;342;18,200;11,39600;68,0912;98;640,5000;0,2865497;5490,655;18,79121;10,47200;16,08187;637,7000;643,3000
114;6518;332,100;12,27910;71,0238;499;640,7500;0,07656;5172,020;19,62662;14,24290;43,49494;638,5000;643,0000
115;239;12,200;15,61180;69,6203;30;640,9000;0,1255230;4441,673;19,59016;14,06600;8,78661;644,9000;636,9000
116;2911;139,470;11,92850;52,9735;281;641,1000;0,09653;5220,370;20,87187;15,96800;39,02439;640,4000;641,8000
117;6272;297,040;28,72000;71,7624;1338;641,4500;0,2133291;5252,811;21,11500;10,26400;53,89030;639,3000;643,6000
118;10218;508,750;17,42020;70,8064;1435;641,4500;0,1404384;5518,702;20,08452;10,60247;41,13329;638,6000;644,3000
119;1735;87,140;47,26220;75,5043;222;641,5500;0,1279539;5609,488;19,91049;10,52300;1,38329;640,8000;642,3000
120;474;26,610;20,67510;82,0675;96;641,8000;0,2025317;4945,032;17,81285;11,23800;35,44304;638,9000;644,7000
121;544;30,000;20,55050;74,8624;145;642,2000;0,2665441;5223,025;18,13333;10,05600;8,63971;641,8000;642,6000
122;1987;103,370;15,28120;54,6541;283;642,2000;0,1424258;4757,025;19,22221;11,18300;15,34977;637,0000;647,4000
123;418;22,400;10,69650;63,4328;50;642,4000;0,1196172;5522,162;18,66072;7,38500;19,85646;640,2000;644,6000
124;196;10,000;19,68910;47,1503;40;642,7500;0,2040816;6087,609;19,60000;13,57900;3,06122;652,6000;632,9000
125;2208;114,500;14,41400;53,2106;92;643,0500;0,04167;4960,516;19,28384;9,63000;9,87319;642,0000;644,1000
126;1255;55,000;11,32220;44,2597;165;643,2000;0,1314741;4880,041;22,81818;15,27400;16,09562;642,6000;643,8000
127;1469;78,100;20,96660;80,2587;65;643,2500;0,04425;6538,418;18,80922;14,03425;43,49898;639,4000;647,1000
128;7114;332,840;34,59420;82,5722;680;643,4000;0,09559;4925,660;21,37363;10,23967;45,03795;638,9000;647,9000
129;1962;98,000;24,41510;67,7518;170;643,4000;0,08665;5204,688;20,02041;9,48500;18,19572;641,7000;645,1000
130;7761;361,000;6,49120;44,4766;658;643,5000;0,08478;4907,411;21,49862;15,02987;15,48769;644,2000;642,8000
131;216;14,000;9,41700;48,8789;47;643,5000;0,2175926;5923,452;15,42857;9,78100;0,92593;652,7000;634,3000
132;224;10,000;7,14290;58,0357;31;643,7000;0,1383929;4741,957;22,40000;13,19200;7,58929;633,6000;653,8000
133;7887;391,860;16,40240;57,0722;1004;643,7000;0,1272981;4954,020;20,12709;12,21600;29,08584;645,7000;641,7000
134;752;39,500;11,71050;34,0789;0;644,2000;0,0000;5500,108;19,03798;14,07600;0,13298;652,3000;636,1000
135;9328;537,880;7,48750;39,0368;1719;644,2000;0,1842839;5360,517;17,34216;25,48733;50,85763;644,5000;643,9000
136;548;32,200;7,66420;31,3869;35;644,4000;0,06387;5685,639;17,01863;14,86700;11,49635;652,1000;636,7000
137;104;5,000;32,38100;49,5238;19;644,4500;0,1826923;5594,196;20,80000;9,97200;13,46154;649,5000;639,4000
138;275;13,000;12,72730;45,8182;4;644,4500;0,01455;4692,567;21,15385;14,57800;4,72727;643,2000;645,7000
139;443;24,000;14,22120;69,9774;52;644,5000;0,1173815;5085,406;18,45833;7,38500;21,44469;644,3000;644,7000
140;10337;540,050;37,22690;58,5454;1268;644,5500;0,1226662;5456,197;19,14082;12,34300;12,35368;646,0000;643,1000
141;806;41,530;7,17880;56,6751;36;644,7000;0,04467;5105,180;19,40766;12,43133;30,14888;645,3000;644,1000
142;227;11,600;18,06170;59,0308;25;644,9500;0,1101322;5519,677;19,56896;14,90600;15,85903;649,7000;640,2000
143;8416;391,420;12,39900;71,9121;1333;645,1000;0,1583888;5065,911;21,50120;12,66990;43,75000;642,9000;647,3000
144;149;8,500;19,46310;59,0604;30;645,2500;0,2013423;5182,428;17,52941;10,33300;0,00000;656,8000;633,7000
145;220;13,390;19,13040;52,1739;48;645,5500;0,2181818;5960,464;16,43017;11,97200;0,00000;658,0000;633,1000
146;4612;232,970;17,47610;65,9150;601;645,5500;0,1303122;5124,836;19,79654;12,82700;16,65221;647,7000;643,4000
147;590;34,330;37,43680;70,6577;71;645,6000;0,1203390;5655,133;17,18613;10,04000;3,22034;644,8000;646,4000
148;133;7,550;25,00000;72,1429;25;645,7500;0,1879699;5811,690;17,61589;13,33500;0,00000;644,3000;647,2000
149;2440;121,240;7,27590;47,0299;116;645,7500;0,04754;5467,674;20,12537;9,85400;48,52459;645,5000;646,0000
150;133;6,000;11,19400;35,8209;0;646,0000;0,0000;5213,089;22,16667;11,42600;0,75188;652,5000;639,5000
151;519;26,000;16,76300;37,9576;65;646,2000;0,1252408;4613,188;19,96154;15,13100;1,92678;650,9000;641,5000
152;222;11,660;7,58930;40,6250;30;646,3500;0,1351351;4886,984;19,03945;14,57800;13,51351;643,0000;649,7000
153;285;18,720;26,64230;76,2774;36;646,4000;0,1263158;6455,137;15,22436;10,26800;0,00000;641,6000;651,2000
154;3129;147,980;26,16760;55,7901;471;646,5000;0,1505273;5125,433;21,14475;15,59286;16,71461;647,8000;645,2000
155;2019;102,780;10,25260;40,5646;167;646,5500;0,08271;5193,692;19,64390;11,23800;5,94354;649,1000;644,0000
156;5620;267,000;10,30950;55,0939;316;646,7000;0,05623;5002,839;21,04869;15,05138;36,17438;644,0000;649,4000
157;9775;484,500;13,04300;62,5039;1218;646,9000;0,1246036;5337,625;20,17544;15,41318;44,97187;645,6000;648,2000
158;246;11,500;9,75610;43,9024;38;646,9500;0,1544715;5161,202;21,39130;11,08100;16,66667;647,8000;646,1000
159;7210;360,350;26,62680;68,8579;800;647,0500;0,1109570;5158,792;20,00833;10,09800;15,18724;642,5000;651,6000
160;21338;1051,580;13,22720;45,9950;2889;647,2500;0,1353923;5123,474;20,29137;14,29830;34,33780;645,0000;649,5000
161;477;27,000;25,36690;59,5388;27;647,3000;0,05660;5782,544;17,66667;11,80300;0,00000;650,8000;643,8000
162;727;39,900;10,17880;32,1871;50;647,6000;0,06878;4842,608;18,22055;9,97200;13,06740;649,4000;645,8000
163;374;18,450;6,68450;7,4866;46;647,6000;0,1229947;4219,406;20,27100;15,40900;4,27807;651,6000;643,6000
164;18255;903,760;11,22170;58,5331;2001;648,0000;0,1096138;5081,170;20,19895;15,29380;39,59463;645,0000;651,0000
165;8787;410,910;10,02270;32,4830;1058;648,2000;0,1204051;5144,994;21,38424;15,53293;21,66837;648,0000;648,4000
166;797;38,000;7,02630;35,7591;60;648,2500;0,07528;4674,299;20,97368;16,29300;3,26223;648,8000;647,7000
167;140;7,000;3,57140;39,2857;40;648,3500;0,2857143;4830,326;20,00000;12,87500;7,85714;651,6000;645,1000
168;235;13,700;6,80850;67,2340;51;648,7000;0,2170213;5621,688;17,15328;16,62300;39,57447;643,4000;654,0000
169;8294;371,100;23,19750;51,5674;1295;648,9500;0,1561370;4948,868;22,34977;12,54988;10,12780;645,1000;652,8000
170;2409;108,660;8,15150;52,1202;354;649,1500;0,1469489;5100,976;22,17007;14,25857;27,52179;646,0000;652,3000
171;150;8,250;3,22580;23,2258;16;649,3000;0,1066667;5132,789;18,18182;18,32600;14,00000;655,2000;643,4000
172;3981;210,000;41,77340;51,7709;606;649,5000;0,1522231;5358,517;18,95714;12,74914;8,84200;649,8000;649,2000
173;2326;117,800;17,97510;52,2523;345;649,7000;0,1483233;5149,187;19,74533;11,42600;6,40585;651,3000;648,1000
174;501;30,500;20,63490;54,7619;163;649,8500;0,3253493;5373,207;16,42623;8,83000;2,39521;652,6000;647,1000
175;470;28,270;31,33050;89,6996;48;650,4500;0,1021277;6485,166;16,62540;11,17600;5,95745;655,1000;645,8000
176;575;35,100;26,43480;59,1304;59;650,5500;0,1026087;5504,025;16,38177;14,22800;8,17391;654,6000;646,5000
177;3519;175,300;5,54130;29,7812;789;650,6000;0,2242114;5105,734;20,07416;15,02700;15,45894;655,4000;645,8000
178;474;26,340;21,99590;54,9898;61;650,6500;0,1286920;5634,731;17,99544;10,52100;0,00000;653,6000;647,7000
179;223;11,500;1,75440;17,5439;60;650,9000;0,2690583;4980,294;19,39130;18,62600;0,00000;651,8000;650,0000
180;92;5,600;13,54170;0,0000;22;650,9000;0,2391304;6113,860;16,42857;22,52900;0,00000;656,1000;645,7000
181;4971;297,140;14,70940;55,1008;500;651,1500;0,1005834;5850,000;16,72949;18,29839;31,82458;653,3000;649,0000
182;2617;107,195;8,36820;32,3697;226;651,2000;0,08636;4547,945;24,41345;11,88575;12,80092;651,7000;650,7000
183;242;13,250;28,09920;51,6529;32;651,3500;0,1322314;5011,840;18,26415;9,92600;0,00000;654,4000;648,3000
184;780;41,150;16,53940;50,7634;75;651,4000;0,09615;5261,371;18,95504;14,19700;3,84615;662,0000;640,8000
185;324;15,400;13,00310;58,2043;50;651,4500;0,1543210;4276,115;21,03896;9,63000;2,46914;647,0000;655,9000
186;140;6,750;7,85710;45,7143;25;651,8000;0,1785714;4566,270;20,74074;10,63900;10,71429;654,2000;649,4000
187;181;10,000;25,41440;66,8508;26;651,8500;0,1436464;6049,495;18,10000;14,47500;0,00000;651,9000;651,8000
188;516;26,000;9,25930;24,8148;65;651,9000;0,1259690;4974,281;19,84615;13,46700;1,93798;656,3000;647,5000
189;108;5,000;3,66970;32,1101;25;652,0000;0,2314815;4432,478;21,60000;9,66500;4,62963;648,2000;655,8000
190;419;18,670;13,95350;50,0000;58;652,1000;0,1384248;4924,619;22,44242;12,70800;5,25060;656,4000;647,8000
191;12567;546,050;7,62310;40,3995;1099;652,1000;0,08745;4603,660;23,01438;17,82300;27,54038;651,6000;652,6000
192;287;16,170;3,79310;31,0345;65;652,3000;0,2264808;5973,925;17,74892;17,15600;14,98258;655,1000;649,5000
193;6201;339,100;7,17960;47,7025;634;652,3000;0,1022416;5215,944;18,28664;19,58964;47,87938;650,9000;653,7000
194;577;29,950;20,33610;46,0504;134;652,3500;0,2322357;4882,237;19,26544;14,19700;0,00000;657,2000;647,5000
195;170;7,500;10,58820;32,3529;41;652,4000;0,2411765;4145,836;22,66667;11,91200;1,76471;660,3000;644,5000
196;164;8,500;33,53660;65,8537;36;652,4000;0,2195122;7542,038;19,29412;13,38600;0,00000;655,2000;649,6000
197;382;22,000;29,23830;59,2138;75;652,5000;0,1963351;5247,018;17,36364;11,55400;0,00000;653,1000;651,9000
198;1221;61,600;4,34070;25,3071;250;652,8500;0,2047502;5169,815;19,82143;19,02600;7,28911;656,8000;648,9000
199;2214;108,350;12,87260;36,4499;213;653,1000;0,09621;5951,006;20,43378;16,40700;17,02800;656,1000;650,1000
200;4523;215,000;5,75190;29,1987;409;653,4000;0,09043;4746,572;21,03721;14,05800;10,43555;653,7000;653,1000
201;793;39,800;4,41360;30,7692;49;653,5000;0,06179;4944,092;19,92462;19,06800;2,26986;652,4000;654,6000
202;1678;88,270;5,48270;38,2002;254;653,5500;0,1513707;6306,487;19,00986;20,77000;28,24791;655,6000;651,5000
203;536;22,500;5,59700;28,1716;35;653,5500;0,06530;4260,307;23,82222;10,26400;8,76866;653,4000;653,7000
204;307;15,850;5,53750;28,6645;36;653,7000;0,1172638;4718,163;19,36909;14,57800;7,49186;654,1000;653,3000
205;347;17,500;18,44380;53,6023;56;653,8000;0,1613833;4751,300;19,82857;10,20200;9,79827;655,5000;652,1000
206;168;11,010;29,16670;63,6905;30;653,8500;0,1785714;5653,454;15,25885;12,50200;12,50000;655,9000;651,8000
207;532;31,000;10,50660;29,6435;81;653,9500;0,1522556;5920,253;17,16129;13,90600;0,00000;656,6000;651,3000
208;3272;150,000;24,02200;76,7726;374;654,1000;0,1143032;4825,591;21,81333;9,98600;31,20415;651,4000;656,8000
209;2045;107,210;12,12710;40,9291;268;654,2000;0,1310513;5532,582;19,07471;13,71200;1,36919;657,8000;650,6000
